group_id	task_id	window_index	tr_semantic_continuity	tr_cross_speaker_similarity
grp-16	T1	7	0.4192286282777786	0.3951537609100342
grp-16	T1	8	0.3996790647506714	0.3996790647506714
grp-16	T1	9		
grp-16	T1	10	0.1323314607143402	0.1323314607143402
grp-16	T1	11	0.1076897382736206	0.10843895375728607
grp-16	T1	12	0.17855048179626465	0.13619227847084403
grp-16	T1	13		
grp-16	T1	14	0.06278767436742783	0.12094763666391373
grp-16	T1	15	0.1622663140296936	0.19281110912561417
grp-16	T1	16	0.36437322199344635	0.25484401441928817
grp-16	T1	17	0.145584836602211	0.14487089506453937
grp-16	T1	18		
grp-16	T1	19	0.2595030864079793	0.23500587176531554
grp-16	T1	20	0.4883332967758179	0.40009023947641253
grp-16	T2	6		
grp-16	T2	7	0.24622713029384613	0.23461619019508362
grp-16	T2	8	0.20636617206037045	0.22810868313536048
grp-16	T2	9	0.33490821719169617	0.33490821719169617
grp-16	T2	10		
grp-16	T2	11	0.25954654812812805	0.1487610600888729
grp-16	T2	12	0.15607298910617828	0.1669013023376465
grp-16	T2	13	0.6308137774467468	0.27975462563335896
grp-16	T2	14	0.057248289696872234	0.05482776917051524
grp-16	T2	15	0.09551297873258591	0.06774110533297062
grp-16	T2	16	0.21717015529672304	0.15574880435385488
grp-16	T2	17	0.2963458448648453	0.36055369178454083
grp-16	T2	18	0.28462769091129303	0.22504725200789316
grp-16	T2	19	0.24301332204292217	0.1692823028855332
grp-16	T2	20	0.26489645721656935	0.2274086988117132
grp-16	T2	21	0.2534684936205546	0.2790993054707845
grp-16	T2	22	0.07597065716981888	0.07597065716981888
grp-16	T3	10		
grp-16	T3	11	0.34985512495040894	0.2003765696728671
grp-16	T3	12	0.18808014690876007	0.16265067937118666
grp-16	T3	13	0.11370451003313065	0.16458789010842642
grp-16	T3	14	0.3249616026878357	0.3557642251253128
grp-16	T3	15	0.11978621284166972	0.1676211351794856
grp-16	T3	16	0.18066550897700445	0.20770451122274
grp-16	T3	17	0.22244419902563095	0.17095874941774777
grp-16	T3	18	0.024847794324159622	0.17305783438496292
grp-16	T3	19	0.3064514771103859	0.18900298859391892
grp-16	T3	20	0.24165143966674804	0.20719933323562145
grp-16	T3	21	0.11426489427685738	0.23654891710196221
grp-16	T3	22		
grp-16	T3	23	0.15776850283145905	0.1998654861341823
grp-16	T3	24	0.1455236909290155	0.1662304736673832
grp-16	T3	25	0.2102574735879898	0.1674507957484041
grp-16	T3	26	0.12977864779531956	0.1475342380052263
grp-16	T3	27	0.11857541029651959	0.15474856570363044
grp-16	T3	28	0.6850936412811279	0.4383437782526016
grp-16	T3	31	0.10106150805950165	0.11238078773021698
