group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index
grp-09	T2	11	330.0	62.6356	0.1504	36.2348	3.3975	4.216	1.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-09	T2	12	360.0	64.5789	0.1168	36.2476	3.496	11.421	2.0	1.0	3.0	0.0	0.0	0.0	0.0
grp-09	T2	13	390.0	61.5775	0.0667	36.2662	3.5762	1.434	1.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-09	T2	14	420.0	59.191	0.1169	36.272	3.5529	4.631	0.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-09	T2	15	450.0	63.461	0.1836	36.16	3.59	3.104	1.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-09	T2	16	480.0	77.1217	0.2004	36.0218	3.6468	10.124	0.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-09	T2	17	510.0	82.3448	0.1503	35.9671	3.6534	6.903	1.0	1.0	3.0	0.0	0.0	0.0	0.0
grp-09	T2	18	540.0	76.3727	0.1504	35.9607	3.6058	8.75	1.0	2.0	2.0	0.0	0.0	0.0	0.0
grp-09	T2	19	570.0	72.9275	0.2171	36.0049	3.5375	12.666	1.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-09	T3	0	0.0	68.0183	0.0834	35.7916	3.3359	7.082	0.0	0.0	2.0	1.0	0.0	0.132	0.0
grp-09	T3	1	30.0	67.0031	0.0835	35.7876	3.3419	152.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grp-09	T3	6	180.0	77.3152	0.0669	35.9197	3.1418	0.697	0.0	0.0	1.0	2.0	1.0	1.053	0.0
grp-09	T3	7	210.0	77.1852	0.0835	35.9785	3.1607	26.534	0.0	2.0	0.0	0.0	0.0	0.0	0.0
grp-09	T3	8	240.0	75.236	0.1002	36.0176	3.2133	17.751	0.0	1.0	3.0	5.0	3.0	3.654	0.2
grp-09	T3	9	270.0	84.6401	0.0835	36.0365	3.1752	11.335	0.0	3.0	3.0	2.0	1.0	1.682	0.0
grp-09	T3	10	300.0	87.181	0.1003	35.9877	3.161	5.698	5.0	0.0	3.0	1.0	1.0	0.781	1.0
grp-09	T3	11	330.0	79.5434	0.1502	35.8847	3.2184	5.644	1.0	0.0	2.0	3.0	1.0	1.034	0.0
grp-09	T3	12	360.0	75.9872	0.2339	35.8273	3.273	4.426	3.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-09	T3	13	390.0	81.0762	0.2002	35.8103	3.3566	7.47	4.0	4.0	3.0	0.0	0.0	0.0	0.0
grp-09	T3	14	420.0	93.6707	0.4345	35.7843	3.487	9.229	4.0	2.0	4.0	0.0	0.0	0.0	0.0
grp-09	T3	15	450.0	85.5861	0.3843	35.7829	3.55	0.727	1.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-09	T3	16	480.0	81.5491	0.2505	35.8083	3.544	0.549	0.0	2.0	2.0	0.0	0.0	0.0	0.0
grp-09	T3	17	510.0	80.8154	0.167	35.8588	3.5081	3.442	0.0	1.0	4.0	0.0	0.0	0.0	0.0
grp-09	T3	18	540.0	71.3607	0.1837	35.8627	3.4356	11.291	6.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-09	T3	19	570.0	69.2312	0.2001	35.8508	3.3892	3.378	4.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-09	T3	20	600.0	74.7496	0.1836	35.8642	3.3765	14.393	2.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-09	T3	21	630.0	79.6655	0.2673	35.8164	3.3858	9.48	3.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-09	T3	22	660.0	73.0869	0.3342	35.7703	3.4213	7.76	1.0	0.0	4.0	0.0	0.0	0.0	0.0
grp-09	T3	23	690.0	67.8833	0.3172	35.7605	3.4557	14.009	1.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-09	T3	24	720.0	71.5929	0.2843	35.7767	3.466	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-10	T1	0	0.0	66.3515	0.0751	36.4805	3.4215	4.851	0.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-10	T1	1	30.0	70.9842	0.025	36.4828	3.4757	7.969	1.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-10	T1	2	60.0	81.3396	0.0333	36.4864	3.4566	6.176	2.0	0.0	2.0	2.0	1.0	0.918	0.5
grp-10	T1	3	90.0	79.5664	0.0167	36.4944	3.4491	2.381	1.0	0.0	2.0	1.0	1.0	0.867	0.0
grp-10	T1	4	120.0	73.4099	0.0334	36.5097	3.4683	2.018	2.0	0.0	1.0	1.0	0.0	21.929	0.0
grp-10	T1	5	150.0	72.3431	0.0501	36.5157	3.4623	0.881	1.0	0.0	2.0	4.0	1.0	13.425	0.25
grp-10	T1	6	180.0	72.3514	0.0417	36.5268	3.4984	4.083	2.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-10	T1	7	210.0	71.6231	0.0167	36.5416	3.3768	6.227	3.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-10	T1	8	240.0	76.9684	0.0	36.5588	3.1726	2.179	2.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-10	T1	9	270.0	76.9414	0.0167	36.5787	3.1231	7.296	1.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-10	T1	10	300.0	75.775	0.025	36.5963	3.082	8.234	2.0	0.0	4.0	0.0	0.0	0.0	0.0
